pool_index,layer,head,baseline_mse,ablated_mse,delta_mse,relative_delta,num_prompts
5,4,1,0.0889604315161705,0.09365805238485336,0.004697620868682861,0.05280573383657835,64
5,4,2,0.0889604315161705,0.09878695756196976,0.009826526045799255,0.11045951417066373,64
5,4,3,0.0889604315161705,0.08184432238340378,-0.007116109132766724,-0.07999184594100382,64
5,5,0,0.0889604315161705,0.08801838755607605,-0.0009420439600944519,-0.010589471566497801,64
5,5,1,0.0889604315161705,0.0978432297706604,0.008882798254489899,0.09985111473717845,64
5,5,2,0.0889604315161705,0.07424619048833847,-0.014714241027832031,-0.16540208693785385,64
5,5,3,0.0889604315161705,0.0972885712981224,0.008328139781951904,0.0936162251005321,64
6,0,0,0.05049470067024231,0.05111601948738098,0.0006213188171386719,0.012304634127527856,64
6,0,1,0.05049470067024231,0.05085994303226471,0.0003652423620223999,0.007233281060529434,64
6,0,2,0.05049470067024231,0.05108832195401192,0.0005936212837696075,0.011756110559690596,64
6,0,3,0.05049470067024231,0.051921624690294266,0.0014269240200519562,0.028258886597670566,64
6,1,0,0.05049470067024231,0.05255909264087677,0.0020643919706344604,0.040883339106714836,64
6,1,1,0.05049470067024231,0.059989094734191895,0.009494394063949585,0.18802753433008906,64
6,1,2,0.05049470067024231,0.053055305033922195,0.002560604363679886,0.05071035830772235,64
6,1,3,0.05049470067024231,0.057988185435533524,0.007493484765291214,0.14840140976533991,64
6,2,0,0.05049470067024231,0.06152624264359474,0.011031541973352432,0.2184693012673923,64
6,2,1,0.05049470067024231,0.05168136954307556,0.001186668872833252,0.023500859635931706,64
6,2,2,0.05049470067024231,0.07538983970880508,0.024895139038562775,0.49302478691077833,64
6,2,3,0.05049470067024231,0.0534212552011013,0.0029265545308589935,0.05795765678289726,64
6,3,0,0.05049470067024231,0.05528891459107399,0.00479421392083168,0.0949448923768366,64
6,3,1,0.05049470067024231,0.05214686691761017,0.0016521662473678589,0.032719596817192324,64
6,3,2,0.05049470067024231,0.05803801491856575,0.0075433142483234406,0.1493882357563811,64
6,3,3,0.05049470067024231,0.05482542887330055,0.004330728203058243,0.08576599416351575,64
6,4,0,0.05049470067024231,0.05107533559203148,0.0005806349217891693,0.011498927888879474,64
6,4,1,0.05049470067024231,0.059361424297094345,0.008866723626852036,0.17559711235008474,64
6,4,2,0.05049470067024231,0.0629195123910904,0.012424811720848083,0.246061696686604,64
6,4,3,0.05049470067024231,0.06173120066523552,0.01123649999499321,0.22252830189352146,64
6,5,0,0.05049470067024231,0.052488263696432114,0.001993563026189804,0.03948063855590248,64
6,5,1,0.05049470067024231,0.055369291454553604,0.0048745907843112946,0.09653668047362972,64
6,5,2,0.05049470067024231,0.0526549406349659,0.002160239964723587,0.04278151837731132,64
6,5,3,0.05049470067024231,0.05419636890292168,0.003701668232679367,0.07330805378528638,64
7,0,0,0.07040540128946304,0.07038206607103348,-2.333521842956543e-05,-0.00033144074178761,64
7,0,1,0.07040540128946304,0.06882721185684204,-0.0015781894326210022,-0.02241574373122393,64
7,0,2,0.07040540128946304,0.07511859387159348,0.004713192582130432,0.06694362216168308,64
7,0,3,0.07040540128946304,0.07003436237573624,-0.00037103891372680664,-0.005270034783212956,64
7,1,0,0.07040540128946304,0.06846672296524048,-0.0019386783242225647,-0.027535931742287696,64
7,1,1,0.07040540128946304,0.07137273997068405,0.0009673386812210083,0.013739552129390984,64
7,1,2,0.07040540128946304,0.07224995642900467,0.001844555139541626,0.026199057256016026,64
7,1,3,0.07040540128946304,0.08862680196762085,0.018221400678157806,0.2588068577719482,64
7,2,0,0.07040540128946304,0.08616653829813004,0.015761137008666992,0.22386261167155594,64
7,2,1,0.07040540128946304,0.07134164869785309,0.0009362474083900452,0.01329794861231573,64
7,2,2,0.07040540128946304,0.0719936415553093,0.0015882402658462524,0.022558500295933853,64
7,2,3,0.07040540128946304,0.06583314388990402,-0.004572257399559021,-0.0649418555359952,64
7,3,0,0.07040540128946304,0.07617389410734177,0.005768492817878723,0.08193253233626707,64
7,3,1,0.07040540128946304,0.07113336026668549,0.0007279589772224426,0.01033953310228558,64
7,3,2,0.07040540128946304,0.07551131397485733,0.005105912685394287,0.0725216047605416,64
7,3,3,0.07040540128946304,0.0724845752120018,0.0020791739225387573,0.02953145475246936,64
7,4,0,0.07040540128946304,0.10969928652048111,0.039293885231018066,0.5581089591252812,64
7,4,1,0.07040540128946304,0.0766131728887558,0.006207771599292755,0.08817180905882636,64
7,4,2,0.07040540128946304,0.09364808350801468,0.023242682218551636,0.3301264078115557,64
