family,value,pool_index,method,mse,actual_pool_cosine,mean_minority_context,num_prompts
similarity,0.9,0,ridge_history,0.07965106663242566,0.8999999761581421,,128
similarity,0.9,0,em_ridge_K2,0.05263809178736019,0.8999999761581421,,128
similarity,0.9,1,transformer,0.06963617669836647,0.9000001549720764,,128
similarity,0.9,1,known_pool,0.06498033956366252,0.9000001549720764,,128
similarity,0.9,1,ridge_current,0.5210388580553725,0.9000001549720764,,128
similarity,0.9,1,ridge_history,0.11478767808270272,0.9000001549720764,,128
similarity,0.9,1,em_ridge_K2,0.07453985946723077,0.9000001549720764,,128
similarity,0.9,2,transformer,0.053255825091749275,0.9000000357627869,,128
similarity,0.9,2,known_pool,0.051358474764786846,0.9000000357627869,,128
similarity,0.9,2,ridge_current,0.4343160558978002,0.9000000357627869,,128
similarity,0.9,2,ridge_history,0.0897423070162186,0.9000000357627869,,128
similarity,0.9,2,em_ridge_K2,0.054910522129200376,0.9000000357627869,,128
similarity,0.9,3,transformer,0.05289450229972542,0.9000000953674316,,128
similarity,0.9,3,known_pool,0.04480859195201654,0.9000000953674316,,128
similarity,0.9,3,ridge_current,0.4336603289777099,0.9000000953674316,,128
similarity,0.9,3,ridge_history,0.08764717037497995,0.9000000953674316,,128
similarity,0.9,3,em_ridge_K2,0.04816715363583372,0.9000000953674316,,128
similarity,0.9,4,transformer,0.04673516299114889,0.8999999761581421,,128
similarity,0.9,4,known_pool,0.03787561743420847,0.8999999761581421,,128
similarity,0.9,4,ridge_current,0.4574598929390482,0.8999999761581421,,128
similarity,0.9,4,ridge_history,0.08996608055749927,0.8999999761581421,,128
similarity,0.9,4,em_ridge_K2,0.04409829192953473,0.8999999761581421,,128
similarity,0.9,5,transformer,0.0739193941677779,0.8999999165534973,,128
similarity,0.9,5,known_pool,0.06026111891480057,0.8999999165534973,,128
similarity,0.9,5,ridge_current,0.502115333491114,0.8999999165534973,,128
similarity,0.9,5,ridge_history,0.107171545883495,0.8999999165534973,,128
similarity,0.9,5,em_ridge_K2,0.06518843506767347,0.8999999165534973,,128
similarity,0.9,6,transformer,0.06645576926408678,0.8999999761581421,,128
