model_type,pool_index,pool_cosine,layer,head,source_position,same_attention,different_attention,selectivity,input_attention,output_attention,self_attention,num_prompts
trained,0,-0.5101710557937622,4,0,10,0.06296088322997093,0.02246797811239958,0.4739956085194117,0.05573354959487915,0.029695308208465575,0.14571140334010124,128
trained,0,-0.5101710557937622,4,0,20,0.035763315741122695,0.010319734879472655,0.5521244908583963,0.031936900690197945,0.014384684339165687,0.07356830593198538,128
trained,0,-0.5101710557937622,4,0,30,0.024842709043220272,0.006769667295250961,0.5717077879211282,0.022408258418242136,0.009495920563737551,0.04287460446357727,128
trained,0,-0.5101710557937622,4,0,40,0.01957999632688228,0.004972818965003604,0.5949288172306281,0.016904138401150702,0.00727779190056026,0.03272279957309365,128
trained,0,-0.5101710557937622,4,0,49,0.015235910198199244,0.004876148469890378,0.5151020041638436,0.013302905218941825,0.006591122673482311,0.025192641653120518,128
trained,0,-0.5101710557937622,4,1,5,0.06368073830237755,0.13408091408865794,-0.35598496945566394,0.10920233353972435,0.08745931908488273,0.016691754921339452,128
trained,0,-0.5101710557937622,4,1,10,0.02630327232182026,0.0730299286544323,-0.47040320731547247,0.060840042680501936,0.03849315829575062,0.006667996465694159,128
trained,0,-0.5101710557937622,4,1,20,0.013310257403105036,0.03673167145966731,-0.46803579694782943,0.02952849231660366,0.02029386069625616,0.0035529408778529614,128
trained,0,-0.5101710557937622,4,1,30,0.008683990173496263,0.02483125311032119,-0.4817886237495911,0.020094943791627885,0.013159588227669399,0.00236403445887845,128
trained,0,-0.5101710557937622,4,1,40,0.00634779141756719,0.01830837867373512,-0.48509509836250037,0.015175827220082283,0.009784030262380838,0.0016057449975050986,128
trained,0,-0.5101710557937622,4,1,49,0.004861864243734155,0.01529901836307104,-0.5176933134512766,0.012766480902019811,0.007614060856249868,0.001353433312033303,128
trained,0,-0.5101710557937622,4,2,5,0.09864529609680175,0.0751702694665818,0.13505710236017093,0.06376897767186165,0.11041338145732879,0.12908817827701569,128
trained,0,-0.5101710557937622,4,2,10,0.05423276089131832,0.037829091772437096,0.17818095817184376,0.03642163872718811,0.05564021319150925,0.07938150502741337,128
trained,0,-0.5101710557937622,4,2,20,0.03006613106919516,0.017320785048632215,0.26896339885471193,0.022059949487447737,0.025446454249322414,0.04987193178385496,128
trained,0,-0.5101710557937622,4,2,30,0.02065758629373133,0.011443521939868835,0.28703259359535505,0.016152109205722808,0.016097766906023027,0.03250368940643966,128
trained,0,-0.5101710557937622,4,2,40,0.01627618220143901,0.00822318967183431,0.3287019998280492,0.012241104897111655,0.012053796090185642,0.02820395235903561,128
trained,0,-0.5101710557937622,4,2,49,0.01255326038074804,0.007543085367511318,0.24930776349831515,0.01031026616692543,0.00968063561892023,0.02044579084031284,128
trained,0,-0.5101710557937622,4,3,5,0.1086693969139686,0.047751194711715454,0.3894512964612838,0.09715957716107368,0.060212858766317365,0.2131377998739481,128
trained,0,-0.5101710557937622,4,3,10,0.06697187647223472,0.02076356075704098,0.526677898622795,0.05911173298954964,0.028623702935874462,0.12264563981443644,128
trained,0,-0.5101710557937622,4,3,20,0.03517103010655926,0.011395527079278362,0.5105703419706796,0.030117177590727805,0.01667227391153574,0.06421095179393888,128
trained,0,-0.5101710557937622,4,3,30,0.023661122940431063,0.00806305079058783,0.4916778063820857,0.020661802341540653,0.01131421501437823,0.040719480719417334,128
trained,0,-0.5101710557937622,4,3,40,0.018478018391825154,0.006042337417602539,0.507157443813851,0.015371322073042393,0.008833283837884665,0.031815741676837206,128
trained,0,-0.5101710557937622,4,3,49,0.01575376839901803,0.004361585033900436,0.5663426895551394,0.01328541885833351,0.006590175499417344,0.02609586645849049,128
