model_type,pool_index,layer,key_task,is_self,attention,input_attention,output_attention,same_attention,different_attention
trained,0,0,46,False,0.0201040567480959,0.001943626403772214,0.01816043013241142,0.02045445240695368,0.019840059750904776
trained,0,0,47,False,0.022227525885682553,0.0026288976514479145,0.019598628336098045,0.022683953925494167,0.021785141842869612
trained,0,0,48,False,0.01948380784597248,0.0022869625581734,0.017196845030412078,0.019404898161318764,0.019570478711460455
trained,0,0,49,True,0.14607211959082633,0.14607211959082633,0.0,nan,nan
trained,0,1,0,False,0.1432970224705059,0.009301068810600555,0.13399595494411187,0.14539335803061293,0.14084538024992257
trained,0,1,1,False,0.016214128147112206,0.009819351012993138,0.006394776926754275,0.01802561740710664,0.014224458806460998
trained,0,1,2,False,0.014014622298418544,0.00910540389122616,0.004909218559987494,0.01584616681981471,0.012294080559954498
trained,0,1,3,False,0.014627731579821557,0.010196565615842701,0.004431166051290347,0.01677038885233268,0.011958807625137922
trained,0,1,4,False,0.013282526604598388,0.009239459588570753,0.0040430669687339105,0.01611474381040847,0.011008774756755628
trained,0,1,5,False,0.013146908808266744,0.009064861804290558,0.004082047064002836,0.015149904109203994,0.010946897652427682
trained,0,1,6,False,0.013329799912753515,0.009400976705364883,0.003928823277419724,0.01430758043716196,0.012352019606623799
trained,0,1,7,False,0.013238111903774552,0.009305170762672788,0.003932940882805269,0.014369420960600322,0.011955961088339488
trained,0,1,8,False,0.013914046707213856,0.00997307805937453,0.003940968541428447,0.015907484868710693,0.011791999759753384
trained,0,1,9,False,0.012791490167728625,0.008843026149406796,0.003948464026507281,0.014096553437411785,0.011675566799290802
trained,0,1,10,False,0.012994434277061373,0.008840634383886936,0.0041537998395142495,0.014449059230240958,0.011932951184241352
trained,0,1,11,False,0.013612619455670938,0.009480687333052629,0.0041319317342640716,0.014722599569013563,0.012663505782467731
trained,0,1,12,False,0.013547184455092065,0.009399450133059872,0.004147734337493603,0.015710801497769,0.011170752766374192
trained,0,1,13,False,0.013766390009550378,0.009216339462000178,0.004550050573016051,0.015590000650263391,0.01194277938338928
trained,0,1,14,False,0.014476501295575872,0.010235839865345042,0.004240661382937105,0.01620955439284444,0.013128570888915824
trained,0,1,15,False,0.014383367029950023,0.010025368501374032,0.004357998477644287,0.017201681942518414,0.012048191763460635
trained,0,1,16,False,0.015008969799964689,0.010278676945745246,0.004730292955173354,0.016713444812921807,0.013304494685144164
trained,0,1,17,False,0.013980060277390294,0.009475729244513786,0.004504330838244641,0.014995259770738154,0.013138894670243775
trained,0,1,18,False,0.014110995733062737,0.009264296984838438,0.004846698848268716,0.015632700905653423,0.012850154217864786
trained,0,1,19,False,0.015252437820890918,0.010414351458166493,0.004838086336349079,0.017233151083928533,0.013271725227241404
trained,0,1,20,False,0.015467668941710144,0.01073087340046186,0.004736795511234959,0.016773806186392903,0.013987379955748717
trained,0,1,21,False,0.015068119915667921,0.009864922754786676,0.005203197216360422,0.01705378964834381,0.013082450386718847
trained,0,1,22,False,0.014198084842064418,0.009292283168178983,0.004905801570203039,0.01618028726548918,0.012336015701293944
trained,0,1,23,False,0.014948305091820657,0.009234977227606578,0.005713328047932009,0.01585626174122668,0.014327071925723238
trained,0,1,24,False,0.015251368604367599,0.009604336508346023,0.0056470318622814375,0.016787656915507147,0.013762350394748723
trained,0,1,25,False,0.014954076366848312,0.00954238902158977,0.005411687599917059,0.017922122202192744,0.012335212483509059
trained,0,1,26,False,0.017045128653990105,0.011198635595064843,0.005846493240824202,0.018145451133233913,0.0157583108708515
trained,0,1,27,False,0.016638041415717453,0.010285133499564836,0.006352907881591818,0.018838211494897093,0.013982663637605206
trained,0,1,28,False,0.01557166880229488,0.009596990917998482,0.005974677840640652,0.017123948686338705,0.014285494333931378
trained,0,1,29,False,0.015534446662059054,0.009844618974966579,0.005689827620699361,0.01725534544113958,0.014152879931662284
trained,0,1,30,False,0.016151879681274295,0.010441923044709256,0.005709956621103629,0.01742675720617689,0.01509555277547666
trained,0,1,31,False,0.018596555601106957,0.011769707347411895,0.006826848198215885,0.021628183652720755,0.01565820835530758
trained,0,1,32,False,0.018112130725057796,0.011829566905362299,0.0062825637332935,0.019704382510527092,0.01630757825138668
trained,0,1,33,False,0.016392346267821267,0.010199043299508048,0.006193303146574181,0.018407653162225347,0.014557515396111047
trained,0,1,34,False,0.01647700709872879,0.010005056028603576,0.00647195081000973,0.017798957152990624,0.015155056986259297
trained,0,1,35,False,0.01648307972936891,0.010259479171509156,0.00622360069246497,0.018165312721535112,0.014692315771695108
trained,0,1,36,False,0.016759203048422933,0.010511945463804295,0.006247257430004538,0.019288895282683505,0.014971553670863311
trained,0,1,37,False,0.018256864306749776,0.011510525655467063,0.00674633840117167,0.020321452471076463,0.01637716435674411
trained,0,1,38,False,0.016303578566294163,0.010241626827337313,0.0060619516734732315,0.017444697509591395,0.015126233506533835
trained,0,1,39,False,0.01785459934035316,0.010451804842887213,0.007402794351946795,0.019247782029784645,0.016417188688166558
trained,0,1,40,False,0.018089127348503098,0.011034025810658932,0.007055101508740336,0.018433051374860298,0.017552606258541346
trained,0,1,41,False,0.017776161228539422,0.010717437377024908,0.007058723920636112,0.01913541450466908,0.016083056638180687
trained,0,1,42,False,0.017104550264775753,0.010353923535149079,0.006750626598659437,0.019245470384672538,0.015273908747063168
trained,0,1,43,False,0.0197351464885287,0.012184857994725462,0.007550288337370148,0.021589113174584406,0.018199002689548903
trained,0,1,44,False,0.018289331084815785,0.011332032590871677,0.0069572984439219,0.019767976133152843,0.016810685716336593
trained,0,1,45,False,0.019846488517941907,0.011744043127691839,0.008102445422991877,0.022900589908074056,0.017471076273876757
trained,0,1,46,False,0.019445020734565333,0.011969334500463447,0.007475686350517208,0.02144589884714647,0.017937510210561426
trained,0,1,47,False,0.020135043159825727,0.012162716106104199,0.007972327033712645,0.021422893695888064,0.018886818306950423
trained,0,1,48,False,0.01912980928318575,0.011938503703277092,0.00719130554352887,0.020629859793542038,0.01748221277518839
trained,0,1,49,True,0.09539581573335454,0.09539581573335454,0.0,nan,nan
trained,0,2,0,False,0.00672228562325472,0.0008308688005342901,0.005891416847589426,0.0069371541030704975,0.006470998749136925
trained,0,2,1,False,0.003058570358916768,0.0013821729513097125,0.0016763975072535686,0.003215031162314395,0.0028867200799439037
trained,0,2,2,False,0.002958149617370509,0.0012872267864167952,0.0016709228530089604,0.0028528979511916516,0.0030570224714183223
trained,0,2,3,False,0.0031596428798366105,0.0013606829340915283,0.0017989599527936662,0.00346090501210403,0.002784386499051675
trained,0,2,4,False,0.00396783333417261,0.0020466632283842046,0.0019211702692700783,0.0035248816466743223,0.004323442676432536
trained,0,2,5,False,0.0035277690330985934,0.0014472115545345332,0.002080557516819681,0.0035936417659299807,0.0034554169654510305
trained,0,2,6,False,0.00387141061037255,0.0015682514693367011,0.0023031591590552125,0.0037325545599742327,0.004010266541172314
trained,0,2,7,False,0.0039338722854154184,0.0016700890771232935,0.002263783231683192,0.003525477519039722,0.004396719805663452
trained,0,2,8,False,0.004513483145274222,0.0019051765747519767,0.002608306644106051,0.0034796786582746517,0.005613984730688014
trained,0,2,9,False,0.00569842207187321,0.0026704296398065708,0.0030279923958005384,0.004830701908065101,0.006440385842047955
trained,0,2,10,False,0.0051072744390694425,0.0020603478635621286,0.0030469265948340762,0.003952339703337876,0.005950064712984337
trained,0,2,11,False,0.005488555609190371,0.0018782540708457418,0.003610301373555558,0.00506467203031515,0.005851006786595436
trained,0,2,12,False,0.005901022246689536,0.002560325532783736,0.003340696719533298,0.00573992094984139,0.006077969920073377
trained,0,2,13,False,0.005326756381691666,0.0018718614884392082,0.0034548950388852973,0.00467644799118716,0.005977064785838593
trained,0,2,14,False,0.006120818405179307,0.0019936891530960565,0.0041271291265729815,0.006181237560148085,0.006073825701605529
trained,0,2,15,False,0.0076653835421893746,0.0028070316595858458,0.004858351705479436,0.006441434612497687,0.008679512356008803
trained,0,2,16,False,0.006510530525702052,0.0021196698651237966,0.0043908606603508815,0.00581982408039039,0.007201236903711106
trained,0,2,17,False,0.00772779935869039,0.002404056708542157,0.005323742603650317,0.00764274957252602,0.007798269164881536
trained,0,2,18,False,0.008360410800378304,0.0026164352025261906,0.005743975496443454,0.008176821219766962,0.00851252768188715
trained,0,2,19,False,0.008422014776442666,0.002757572672180686,0.005664442098350264,0.0074151845001324546,0.009428845354705118
trained,0,2,20,False,0.008922308064938989,0.0024628746912185306,0.006459433483541943,0.007762853665660848,0.010236356834260127
trained,0,2,21,False,0.009616789437131956,0.0026538238544162596,0.006962965686398093,0.008846563519909978,0.010387015659944154
trained,0,2,22,False,0.009872218462987803,0.0024386848267567984,0.007433533559378702,0.009327200248897556,0.010384205136109484
trained,0,2,23,False,0.009845992615737487,0.0029048074934507895,0.006941185129107907,0.009959909572409322,0.009768049459365245
trained,0,2,24,False,0.010812373948283494,0.002611822192193358,0.008200551761547104,0.009342202443688635,0.012237309528371463
trained,0,2,25,False,0.0124087389849592,0.003294606588951865,0.009114132306422107,0.010252846567891537,0.014310996948659201
trained,0,2,26,False,0.012986973102670163,0.003141788763969089,0.009845184002188034,0.01232688936094443,0.013758934560721204
trained,0,2,27,False,0.01449315741774626,0.003702015127601044,0.010791142442030832,0.013190371463341373,0.016065485502496875
trained,0,2,28,False,0.01578819946735166,0.004563372138818522,0.011224827205296606,0.013987065742498842,0.01728056733097349
trained,0,2,29,False,0.014945627917768434,0.003236758297589404,0.011708869598805904,0.01430594655603432,0.015459174854339848
trained,0,2,30,False,0.01724959517014213,0.0034389158581689117,0.01381067928741686,0.01597159917883832,0.018308506081146852
trained,0,2,31,False,0.016448196765850298,0.0032495147088411613,0.013198682048823684,0.017216462035855605,0.015703570162161038
trained,0,2,32,False,0.018256956478580832,0.0031490158653468825,0.015107940518646501,0.018449670018847376,0.018038547799612083
trained,0,2,33,False,0.021650267066434026,0.004334218609074014,0.017316048790235072,0.019983074795760093,0.02316815907886224
trained,0,2,34,False,0.01821758363803383,0.0038128225969558116,0.014404761415789835,0.017925968961208127,0.018509198882384226
trained,0,2,35,False,0.021663035731762648,0.004646569805117906,0.01701646580477245,0.01961687980501941,0.023841201297698483
trained,0,2,36,False,0.02100957476068288,0.0029213959378466825,0.01808817868004553,0.017999303597464877,0.02313683234155178
trained,0,2,37,False,0.022199982224265113,0.0039911497060529655,0.018208832712844014,0.02166766432098678,0.022684630173355785
trained,0,2,38,False,0.025734108523465693,0.004240711816237308,0.02149339677998796,0.02397109462091556,0.027553091239598062
