model_type,pool_index,pool_cosine,layer,head,source_task,key_task,is_self,attention,input_attention,output_attention,same_attention,different_attention,same_count,different_count,num_prompts
untrained,4,0.5655080080032349,0,0,49,6,False,0.020151699660345912,0.0100923195714131,0.010059380088932812,0.02019156920805312,0.02011969118890628,57,71,128
untrained,4,0.5655080080032349,0,0,49,7,False,0.020159357925876975,0.010040803463198245,0.01011855446267873,0.020070815342478454,0.020247900974936783,64,64,128
untrained,4,0.5655080080032349,0,0,49,8,False,0.02011353918351233,0.009989477111957967,0.010124062886461616,0.020076356709949554,0.020149579300330234,63,65,128
untrained,4,0.5655080080032349,0,0,49,9,False,0.02016896614804864,0.010140220052562654,0.010028746561147273,0.020208833118279774,0.020126527836245876,66,62,128
untrained,4,0.5655080080032349,0,0,49,10,False,0.020284662721678615,0.010080005624331534,0.01020465709734708,0.0201408980647102,0.020428427727892995,64,64,128
untrained,4,0.5655080080032349,0,0,49,11,False,0.020216776989400387,0.010116895195096731,0.010099881561473012,0.020228464901447297,0.020202669347154683,70,58,128
untrained,4,0.5655080080032349,0,0,49,12,False,0.02022926858626306,0.010055888211354613,0.010173380491323769,0.020156599167320464,0.020282297923758224,54,74,128
untrained,4,0.5655080080032349,0,0,49,13,False,0.02017127419821918,0.010081190965138376,0.010090083116665483,0.02015097259923264,0.020186088375143102,54,74,128
untrained,4,0.5655080080032349,0,0,49,14,False,0.02017135312780738,0.01009984069969505,0.010071512311697006,0.02022966252614374,0.020093959705396132,73,55,128
untrained,4,0.5655080080032349,0,0,49,15,False,0.02021445706486702,0.010121277184225619,0.010093179298564792,0.020242602253953617,0.02017826946186168,72,56,128
untrained,4,0.5655080080032349,0,0,49,16,False,0.020278576761484146,0.010147932101972401,0.010130644543096423,0.02027709803410939,0.020280360661703963,70,58,128
untrained,4,0.5655080080032349,0,0,49,17,False,0.020127797266468406,0.010100743034854531,0.010027054231613874,0.020081098950826205,0.02017597925095331,65,63,128
untrained,4,0.5655080080032349,0,0,49,18,False,0.020197518402710557,0.010066083632409573,0.010131434304639697,0.0201848651179009,0.020213785847382888,72,56,128
untrained,4,0.5655080080032349,0,0,49,19,False,0.020308021921664476,0.010118838981725276,0.010189182823523879,0.020365737837094527,0.02024847280884546,65,63,128
