T,pool_index,layer,position,score,num_prompts
3,0,1,10,0.13422521948814392,128
3,0,1,20,0.06949645280838013,128
3,0,1,30,0.21879051625728607,128
3,0,1,40,0.029803933575749397,128
3,0,1,49,0.10618596524000168,128
3,0,2,5,0.2880566716194153,128
3,0,2,10,0.19045080244541168,128
3,0,2,20,0.11578678339719772,128
3,0,2,30,0.28875014185905457,128
3,0,2,40,0.12899763882160187,128
3,0,2,49,0.2446548342704773,128
3,0,3,5,0.3795648515224457,128
3,0,3,10,0.4540296792984009,128
3,0,3,20,0.34740766882896423,128
3,0,3,30,0.4555363953113556,128
3,0,3,40,0.39688733220100403,128
3,0,3,49,0.5473137497901917,128
3,0,4,5,0.4895308315753937,128
3,0,4,10,0.4294455349445343,128
3,0,4,20,0.45192769169807434,128
3,0,4,30,0.4683396816253662,128
3,0,4,40,0.47495612502098083,128
3,0,4,49,0.5765131711959839,128
3,0,5,5,0.3842102587223053,128
3,0,5,10,0.4699725806713104,128
3,0,5,20,0.45493146777153015,128
3,0,5,30,0.4606059789657593,128
3,0,5,40,0.4674266278743744,128
3,0,5,49,0.571083128452301,128
3,0,6,5,0.35610535740852356,128
3,0,6,10,0.43702179193496704,128
3,0,6,20,0.38906511664390564,128
3,0,6,30,0.4818328619003296,128
3,0,6,40,0.4439023733139038,128
3,0,6,49,0.6297802329063416,128
3,1,0,5,-0.06468523293733597,128
3,1,0,10,-0.11528089642524719,128
3,1,0,20,-0.035765390843153,128
3,1,0,30,-0.08203538507223129,128
3,1,0,40,-0.09604959934949875,128
3,1,0,49,-0.02257220447063446,128
3,1,1,5,0.6276700496673584,128
3,1,1,10,0.7144292593002319,128
3,1,1,20,0.6848705410957336,128
3,1,1,30,0.7046838402748108,128
3,1,1,40,0.6750074625015259,128
3,1,1,49,0.7140348553657532,128
3,1,2,5,0.6612294912338257,128
3,1,2,10,0.6867469549179077,128
3,1,2,20,0.7172232270240784,128
3,1,2,30,0.7442224621772766,128
3,1,2,40,0.7215932011604309,128
3,1,2,49,0.7623382210731506,128
3,1,3,5,0.7597663998603821,128
3,1,3,10,0.7859233617782593,128
3,1,3,20,0.8461621999740601,128
3,1,3,30,0.8511726260185242,128
3,1,3,40,0.8531250357627869,128
3,1,3,49,0.8720635175704956,128
3,1,4,5,0.8485674262046814,128
3,1,4,10,0.9419736862182617,128
3,1,4,20,0.9314303994178772,128
3,1,4,30,0.9536477327346802,128
3,1,4,40,0.9251857399940491,128
3,1,4,49,0.9531340003013611,128
3,1,5,5,0.8344593048095703,128
3,1,5,10,0.9549235105514526,128
3,1,5,20,0.9439303278923035,128
3,1,5,30,0.9654557704925537,128
3,1,5,40,0.9511086940765381,128
3,1,5,49,0.9703669548034668,128
3,1,6,5,0.7908790111541748,128
3,1,6,10,0.912722647190094,128
3,1,6,20,0.9192507266998291,128
3,1,6,30,0.9549741148948669,128
3,1,6,40,0.932751476764679,128
3,1,6,49,0.962277352809906,128
3,2,0,5,-0.05370796099305153,128
3,2,0,10,-0.07114256918430328,128
3,2,0,20,-0.05684622749686241,128
3,2,0,30,-0.12240822613239288,128
3,2,0,40,-0.10317225754261017,128
3,2,0,49,-0.03373607248067856,128
3,2,1,5,0.5239698886871338,128
3,2,1,10,0.452941358089447,128
3,2,1,20,0.45844030380249023,128
3,2,1,30,0.3559747338294983,128
3,2,1,40,0.34534701704978943,128
3,2,1,49,0.4896659255027771,128
3,2,2,5,0.5695620775222778,128
3,2,2,10,0.5469038486480713,128
3,2,2,20,0.5337971448898315,128
3,2,2,30,0.4668463468551636,128
3,2,2,40,0.4310595989227295,128
3,2,2,49,0.5216466188430786,128
3,2,3,5,0.6941145062446594,128
3,2,3,10,0.7075073719024658,128
3,2,3,20,0.6932854056358337,128
3,2,3,30,0.6944077014923096,128
3,2,3,40,0.7106497883796692,128
3,2,3,49,0.6593725681304932,128
3,2,4,5,0.7553269863128662,128
3,2,4,10,0.7857387065887451,128
3,2,4,20,0.82027268409729,128
3,2,4,30,0.8076302409172058,128
3,2,4,40,0.8340252637863159,128
3,2,4,49,0.8114079236984253,128
3,2,5,5,0.6992784142494202,128
3,2,5,10,0.7634366154670715,128
3,2,5,20,0.848218560218811,128
3,2,5,30,0.8227786421775818,128
3,2,5,40,0.846121072769165,128
3,2,5,49,0.8230916261672974,128
3,2,6,5,0.609467625617981,128
3,2,6,10,0.7194485068321228,128
3,2,6,20,0.7967424988746643,128
3,2,6,30,0.7774530053138733,128
3,2,6,40,0.824683666229248,128
3,2,6,49,0.8046152591705322,128
3,3,0,5,-0.08330633491277695,128
3,3,0,10,-0.01955416053533554,128
3,3,0,20,-0.0009277901262976229,128
3,3,0,30,-0.11953704804182053,128
3,3,0,40,-0.09907600283622742,128
3,3,0,49,-0.06587054580450058,128
3,3,1,5,0.6843999028205872,128
3,3,1,10,0.6709212064743042,128
3,3,1,20,0.7044705152511597,128
3,3,1,30,0.6659111976623535,128
3,3,1,40,0.6634916663169861,128
3,3,1,49,0.646012008190155,128
3,3,2,5,0.7211946249008179,128
3,3,2,10,0.7140623927116394,128
3,3,2,20,0.7151771187782288,128
3,3,2,30,0.7189606428146362,128
3,3,2,40,0.7206565737724304,128
3,3,2,49,0.6787401437759399,128
3,3,3,5,0.8045610785484314,128
3,3,3,10,0.8270444869995117,128
3,3,3,20,0.8270495533943176,128
3,3,3,30,0.8603149652481079,128
3,3,3,40,0.8488780856132507,128
3,3,3,49,0.8092641234397888,128
3,3,4,5,0.9008071422576904,128
3,3,4,10,0.9176785945892334,128
3,3,4,20,0.9317448139190674,128
3,3,4,30,0.9590557813644409,128
3,3,4,40,0.9526774883270264,128
3,3,4,49,0.9464700818061829,128
3,3,5,5,0.9045068621635437,128
3,3,5,10,0.9388234615325928,128
3,3,5,20,0.9442629218101501,128
3,3,5,30,0.9637184143066406,128
3,3,5,40,0.9710283875465393,128
3,3,5,49,0.9611846208572388,128
3,3,6,5,0.8615490198135376,128
3,3,6,10,0.8960418105125427,128
3,3,6,20,0.9222986698150635,128
3,3,6,30,0.9373379945755005,128
3,3,6,40,0.941120445728302,128
3,3,6,49,0.9296261668205261,128
3,4,0,5,0.029370127245783806,128
3,4,0,10,-0.021209580823779106,128
3,4,0,20,-0.05546388030052185,128
3,4,0,30,-0.03257593512535095,128
3,4,0,40,0.012868441641330719,128
3,4,0,49,0.017139215022325516,128
3,4,1,5,0.7532059550285339,128
3,4,1,10,0.7526060938835144,128
3,4,1,20,0.7157129049301147,128
3,4,1,30,0.7591601610183716,128
3,4,1,40,0.6934567093849182,128
3,4,1,49,0.6968538761138916,128
3,4,2,5,0.7000675797462463,128
3,4,2,10,0.7731901407241821,128
3,4,2,20,0.7482038736343384,128
3,4,2,30,0.7716236710548401,128
3,4,2,40,0.7189652323722839,128
3,4,2,49,0.7004073262214661,128
3,4,3,5,0.8407871127128601,128
3,4,3,10,0.874545156955719,128
3,4,3,20,0.8633540272712708,128
3,4,3,30,0.8843820095062256,128
3,4,3,40,0.8740592002868652,128
3,4,3,49,0.8410667777061462,128
3,4,4,5,0.9320421814918518,128
3,4,4,10,0.9328190088272095,128
3,4,4,20,0.9528099894523621,128
3,4,4,30,0.9598953723907471,128
3,4,4,40,0.9592262506484985,128
3,4,4,49,0.9311693906784058,128
3,4,5,5,0.92900151014328,128
3,4,5,10,0.933962345123291,128
3,4,5,20,0.965813159942627,128
3,4,5,30,0.9733967185020447,128
3,4,5,40,0.9680971503257751,128
3,4,5,49,0.9401578307151794,128
3,4,6,5,0.8875860571861267,128
3,4,6,10,0.884403645992279,128
3,4,6,20,0.9312421679496765,128
3,4,6,30,0.9490312933921814,128
3,4,6,40,0.9465357661247253,128
3,4,6,49,0.9065725803375244,128
3,5,0,5,0.007846499793231487,128
3,5,0,10,-0.06374170631170273,128
3,5,0,20,-0.07060281932353973,128
3,5,0,30,-0.03606097027659416,128
3,5,0,40,-0.0329921692609787,128
3,5,0,49,-0.08543655276298523,128
3,5,1,5,0.5449700355529785,128
3,5,1,10,0.5327132940292358,128
3,5,1,20,0.4820501208305359,128
3,5,1,30,0.4591961205005646,128
3,5,1,40,0.5373285412788391,128
3,5,1,49,0.4065454304218292,128
3,5,2,5,0.5730925798416138,128
3,5,2,10,0.5201937556266785,128
3,5,2,20,0.4806210398674011,128
3,5,2,30,0.5208268761634827,128
3,5,2,40,0.5496902465820312,128
3,5,2,49,0.495196133852005,128
3,5,3,5,0.678272008895874,128
3,5,3,10,0.7236546277999878,128
3,5,3,20,0.7367809414863586,128
3,5,3,30,0.7154715657234192,128
3,5,3,40,0.7312514185905457,128
3,5,3,49,0.6857753396034241,128
3,5,4,5,0.72210294008255,128
3,5,4,10,0.8307403922080994,128
3,5,4,20,0.840880811214447,128
3,5,4,30,0.8327732086181641,128
3,5,4,40,0.8771566152572632,128
3,5,4,49,0.825146496295929,128
3,5,5,5,0.7273712158203125,128
3,5,5,10,0.8425949215888977,128
3,5,5,20,0.8553131222724915,128
3,5,5,30,0.8405700922012329,128
3,5,5,40,0.8934230804443359,128
3,5,5,49,0.8207794427871704,128
3,5,6,5,0.6765526533126831,128
3,5,6,10,0.7833856344223022,128
3,5,6,20,0.8326584696769714,128
3,5,6,30,0.8028478026390076,128
3,5,6,40,0.8611108064651489,128
3,5,6,49,0.7943500280380249,128
3,6,0,5,0.010618450120091438,128
3,6,0,10,-0.025946469977498055,128
3,6,0,20,-0.010484876111149788,128
3,6,0,30,-0.04418643191456795,128
3,6,0,40,-0.04329903796315193,128
3,6,0,49,-0.07979313284158707,128
3,6,1,5,0.6889581084251404,128
3,6,1,10,0.6919605731964111,128
3,6,1,20,0.6914566159248352,128
3,6,1,30,0.7340365052223206,128
3,6,1,40,0.7016422152519226,128
3,6,1,49,0.740788996219635,128
3,6,2,5,0.7091582417488098,128
3,6,2,10,0.7328551411628723,128
3,6,2,20,0.7098828554153442,128
3,6,2,30,0.7672238945960999,128
3,6,2,40,0.738047182559967,128
3,6,2,49,0.7525609135627747,128
3,6,3,5,0.8038989901542664,128
3,6,3,10,0.7937301993370056,128
3,6,3,20,0.8260738253593445,128
3,6,3,30,0.8720154166221619,128
3,6,3,40,0.831855833530426,128
3,6,3,49,0.8617867231369019,128
3,6,4,5,0.918189525604248,128
3,6,4,10,0.910275399684906,128
3,6,4,20,0.9443360567092896,128
3,6,4,30,0.9496386647224426,128
3,6,4,40,0.9194838404655457,128
3,6,4,49,0.9320870637893677,128
3,6,5,5,0.9034273624420166,128
3,6,5,10,0.9390925168991089,128
3,6,5,20,0.9626654386520386,128
3,6,5,30,0.9688801169395447,128
3,6,5,40,0.9427639245986938,128
3,6,5,49,0.9501628279685974,128
3,6,6,5,0.8315905928611755,128
3,6,6,10,0.9014081358909607,128
3,6,6,20,0.9275908470153809,128
3,6,6,30,0.9505894780158997,128
3,6,6,40,0.9249216914176941,128
3,6,6,49,0.9392479658126831,128
3,7,0,5,-0.08303650468587875,128
3,7,0,10,-0.005486080422997475,128
3,7,0,20,-0.02964170090854168,128
3,7,0,30,-0.03358367085456848,128
3,7,0,40,-0.06483376026153564,128
3,7,0,49,-0.09046149253845215,128
3,7,1,5,0.27779728174209595,128
3,7,1,10,0.28798380494117737,128
3,7,1,20,0.33132117986679077,128
3,7,1,30,0.35398510098457336,128
3,7,1,40,0.3502601683139801,128
3,7,1,49,0.30467209219932556,128
3,7,2,5,0.3528728187084198,128
3,7,2,10,0.37543851137161255,128
3,7,2,20,0.4416968822479248,128
