T,K,N,d,noise_std,method,pool_index,position,num_examples,mse
2,2,50,4,0.0,transformer,1,24,200,0.036375509055349926
2,2,50,4,0.0,transformer,1,25,200,0.010567468598676083
2,2,50,4,0.0,transformer,1,26,200,0.015203869495968147
2,2,50,4,0.0,transformer,1,27,200,0.006815915647509505
2,2,50,4,0.0,transformer,1,28,200,0.008240315226693664
2,2,50,4,0.0,transformer,1,29,200,0.01117250698223044
2,2,50,4,0.0,transformer,1,30,200,0.015414122494334461
2,2,50,4,0.0,transformer,1,31,200,0.00965403999306822
2,2,50,4,0.0,transformer,1,32,200,0.019457560015049512
2,2,50,4,0.0,transformer,1,33,200,0.012002462938754968
2,2,50,4,0.0,transformer,1,34,200,0.03716989629445557
2,2,50,4,0.0,transformer,1,35,200,0.018701908193631232
2,2,50,4,0.0,transformer,1,36,200,0.009388793941532223
2,2,50,4,0.0,transformer,1,37,200,0.00927236941717536
2,2,50,4,0.0,transformer,1,38,200,0.006726044617944132
2,2,50,4,0.0,transformer,1,39,200,0.0044441833073958666
2,2,50,4,0.0,transformer,1,40,200,0.0041066774066435
2,2,50,4,0.0,transformer,1,41,200,0.012228727263271923
2,2,50,4,0.0,transformer,1,42,200,0.005753198023741652
2,2,50,4,0.0,transformer,1,43,200,0.00428549774262151
2,2,50,4,0.0,transformer,1,44,200,0.052039154728048834
2,2,50,4,0.0,transformer,1,45,200,0.019862896159166196
2,2,50,4,0.0,transformer,1,46,200,0.003924959875629425
2,2,50,4,0.0,transformer,1,47,200,0.00824160541315613
2,2,50,4,0.0,transformer,1,48,200,0.0037486649346397827
2,2,50,4,0.0,transformer,1,49,200,0.0063837414220107355
2,2,50,4,0.0,known_pool,1,0,200,2.0004485748374917e-15
2,2,50,4,0.0,known_pool,1,1,200,2.146444965512293e-15
2,2,50,4,0.0,known_pool,1,2,200,1.911623780803904e-15
2,2,50,4,0.0,known_pool,1,3,200,2.002103680144737e-15
2,2,50,4,0.0,known_pool,1,4,200,1.890580486617243e-15
2,2,50,4,0.0,known_pool,1,5,200,1.6111427176413724e-15
2,2,50,4,0.0,known_pool,1,6,200,1.6985557316272296e-15
2,2,50,4,0.0,known_pool,1,7,200,2.2176750858742092e-15
2,2,50,4,0.0,known_pool,1,8,200,1.8369444010414216e-15
2,2,50,4,0.0,known_pool,1,9,200,1.777135975604794e-15
2,2,50,4,0.0,known_pool,1,10,200,1.6138115236305519e-15
2,2,50,4,0.0,known_pool,1,11,200,1.9991374757932466e-15
2,2,50,4,0.0,known_pool,1,12,200,1.6883935636961024e-15
2,2,50,4,0.0,known_pool,1,13,200,1.7169397103335555e-15
2,2,50,4,0.0,known_pool,1,14,200,1.6975232011755679e-15
2,2,50,4,0.0,known_pool,1,15,200,2.0457620814655438e-15
2,2,50,4,0.0,known_pool,1,16,200,2.1733173229012486e-15
2,2,50,4,0.0,known_pool,1,17,200,1.761773962354944e-15
2,2,50,4,0.0,known_pool,1,18,200,2.4539186704271103e-15
2,2,50,4,0.0,known_pool,1,19,200,1.6208055843029097e-15
2,2,50,4,0.0,known_pool,1,20,200,1.9537001914314462e-15
2,2,50,4,0.0,known_pool,1,21,200,2.1722039866907066e-15
2,2,50,4,0.0,known_pool,1,22,200,1.6282432321818451e-15
2,2,50,4,0.0,known_pool,1,23,200,2.5837725364593545e-15
2,2,50,4,0.0,known_pool,1,24,200,1.6417409226746084e-15
2,2,50,4,0.0,known_pool,1,25,200,2.5656061522478416e-15
2,2,50,4,0.0,known_pool,1,26,200,1.7829857963058856e-15
2,2,50,4,0.0,known_pool,1,27,200,1.8213289614900767e-15
2,2,50,4,0.0,known_pool,1,28,200,2.0429069525672875e-15
2,2,50,4,0.0,known_pool,1,29,200,1.9056694454640736e-15
2,2,50,4,0.0,known_pool,1,30,200,1.6427480281788204e-15
2,2,50,4,0.0,known_pool,1,31,200,1.6525541098293846e-15
2,2,50,4,0.0,known_pool,1,32,200,1.7355149849181736e-15
2,2,50,4,0.0,known_pool,1,33,200,1.774152100943971e-15
2,2,50,4,0.0,known_pool,1,34,200,1.865063988975538e-15
2,2,50,4,0.0,known_pool,1,35,200,2.3233580497335207e-15
