T,K,N,d,noise_std,method,position_start,position_end,mean_mse,stderr,ci95_low,ci95_high,num_pools
5,2,50,4,0.0,known_pool,40,49,2.2335188083614928e-15,7.227309985020353e-17,2.0918635326550938e-15,2.3751740840678918e-15,10
5,2,50,4,0.0,ridge_current,40,49,0.18709917293648184,0.0028050956801468708,0.18160118540339398,0.1925971604695697,10
5,2,50,4,0.0,ridge_history,40,49,0.42707675163368275,0.08221740209804844,0.2659306435215078,0.5882228597458576,10
5,2,50,4,0.0,transformer,40,49,0.0011514477654807171,0.00019290990404194884,0.0007733443535584974,0.0015295511774029368,10
5,2,50,4,0.2,em_ridge,40,49,0.0432684881753753,0.000808773432670767,0.041683292247340596,0.04485368410341,10
5,2,50,4,0.2,known_pool,40,49,0.041515835727763684,0.0007535029377518368,0.040038969969770084,0.04299270148575728,10
5,2,50,4,0.2,ridge_current,40,49,0.25217299053984854,0.003233921611534489,0.24583450418124095,0.25851147689845616,10
5,2,50,4,0.2,ridge_history,40,49,0.5786415990118382,0.10407250274456592,0.374659493632489,0.7826237043911874,10
5,2,50,4,0.2,transformer,40,49,0.04516221793677861,0.001066173238312677,0.04307251838968577,0.047251917483871454,10
5,3,50,4,0.0,em_ridge,40,49,1.857895962426486e-05,1.8550507048937614e-05,0.0,5.4937953440182585e-05,10
5,3,50,4,0.0,known_pool,40,49,2.2266579377966525e-15,3.578559365124647e-17,2.1565181742402095e-15,2.2967977013530954e-15,10
5,3,50,4,0.0,ridge_current,40,49,0.19016995050698532,0.0016475057816101007,0.18694083917502952,0.19339906183894112,10
5,3,50,4,0.0,ridge_history,40,49,0.7793449569654805,0.06738929304031356,0.6472619426064659,0.911427971324495,10
5,3,50,4,0.0,transformer,40,49,0.002378123799843499,0.00027526601615926585,0.0018386024081713378,0.00291764519151566,10
5,3,50,4,0.2,em_ridge,40,49,0.045203824327574485,0.001164301716595831,0.04292179296304666,0.04748585569210231,10
5,3,50,4,0.2,known_pool,40,49,0.04267414713499892,0.0012330796562197836,0.04025731100880814,0.045090983261189696,10
5,3,50,4,0.2,ridge_current,40,49,0.24761037410437342,0.0023665526759641215,0.24297193085948374,0.2522488173492631,10
5,3,50,4,0.2,ridge_history,40,49,0.6752261321197099,0.05307406778698629,0.5712009592572168,0.7792513049822031,10
5,3,50,4,0.2,transformer,40,49,0.05282996216716111,0.0011766363008278143,0.0505237550175386,0.055136169316783626,10
