model_type,layer,position,metric,control,mean,stderr,ci95_low,ci95_high,num_pools
trained,2,10,component_accuracy,actual,0.89609375,0.02897654740439527,0.8305442457359855,0.9616432542640145,10
trained,2,10,component_accuracy,shuffled,0.503125,0.017281937523996933,0.4640305412430593,0.5422194587569408,10
trained,2,20,beta_r2,actual,0.5871299616992474,0.06335475334364273,0.44381155262561245,0.7304483707728823,10
trained,2,20,beta_r2,shuffled,-0.19031817093491554,0.03159386128598663,-0.2617884505434631,-0.11884789132636799,10
trained,2,20,component_accuracy,actual,0.8890625,0.03891987852556126,0.8010196180181656,0.9771053819818344,10
trained,2,20,component_accuracy,shuffled,0.48828125,0.0174401413023471,0.4488289094326827,0.5277335905673173,10
trained,2,30,beta_r2,actual,0.6159204244613647,0.053123981838535714,0.4957456284289594,0.7360952204937701,10
trained,2,30,beta_r2,shuffled,-0.20873267948627472,0.021549278617313424,-0.25748053446356445,-0.15998482450898496,10
trained,2,30,component_accuracy,actual,0.88359375,0.03243102489697258,0.8102296747324265,0.9569578252675734,10
trained,2,30,component_accuracy,shuffled,0.4890625,0.011540895732375177,0.4629551800539003,0.5151698199460998,10
trained,2,40,beta_r2,actual,0.5865901306271553,0.06781671293855984,0.4331780676957624,0.7400021935585481,10
trained,2,40,beta_r2,shuffled,-0.19783575236797332,0.018024116425876625,-0.2386091364438789,-0.15706236829206774,10
trained,2,40,component_accuracy,actual,0.890625,0.03761195671850169,0.8055408427023854,0.9757091572976146,10
trained,2,40,component_accuracy,shuffled,0.51171875,0.019635140360566985,0.4673009765907953,0.5561365234092047,10
trained,2,49,beta_r2,actual,0.6031144171953201,0.05610452443374833,0.4761971653821294,0.7300316690085108,10
trained,2,49,beta_r2,shuffled,-0.15391614027321338,0.03332934008561466,-0.22931234567922393,-0.07851993486720284,10
trained,2,49,component_accuracy,actual,0.9,0.031202220418229495,0.8294156735856938,0.9705843264143063,10
trained,2,49,component_accuracy,shuffled,0.528125,0.022916666666666665,0.4762838983525411,0.5799661016474588,10
trained,3,5,beta_r2,actual,0.7140837520360946,0.0449623494735989,0.6123718511181568,0.8157956529540324,10
trained,3,5,beta_r2,shuffled,-0.3511608257889748,0.029142844706659968,-0.41708652068646135,-0.2852351308914882,10
trained,3,5,component_accuracy,actual,0.95078125,0.015540134112328845,0.9156270243069506,0.9859354756930494,10
trained,3,5,component_accuracy,shuffled,0.49140625,0.017054806593784312,0.45282559710373277,0.5299869028962673,10
trained,3,10,beta_r2,actual,0.735204428434372,0.042451019202346535,0.6391735512776996,0.8312353055910443,10
trained,3,10,beta_r2,shuffled,-0.334216770529747,0.04320327594719662,-0.43194937067004524,-0.2364841703894488,10
trained,3,10,component_accuracy,actual,0.94765625,0.02050688241938545,0.9012664590483266,0.9940460409516734,10
trained,3,10,component_accuracy,shuffled,0.49453125,0.0063841930584017,0.48008920194425,0.50897329805575,10
trained,3,20,beta_r2,actual,0.7378391355276108,0.05133260910205203,0.6217167061622835,0.8539615648929382,10
trained,3,20,beta_r2,shuffled,-0.2360431592911482,0.03075733941688308,-0.3056210949616658,-0.16646522362063057,10
trained,3,20,component_accuracy,actual,0.95234375,0.018831204364365545,0.9097446061630337,0.9949428938369664,10
trained,3,20,component_accuracy,shuffled,0.48203125,0.013880477053371278,0.45063142941066003,0.51343107058934,10
trained,3,30,beta_r2,actual,0.7626224726438522,0.046017129862990995,0.658524492712872,0.8667204525748324,10
trained,3,30,beta_r2,shuffled,-0.22513836324214936,0.023760030924041484,-0.2788872873852767,-0.17138943909902207,10
trained,3,30,component_accuracy,actual,0.96328125,0.013127169959508916,0.9335855284488275,0.9929769715511725,10
trained,3,30,component_accuracy,shuffled,0.48984375,0.012707159269537346,0.4610981586395985,0.5185893413604016,10
trained,3,40,beta_r2,actual,0.7503215938806533,0.050477068180054666,0.6361345325400893,0.8645086552212173,10
trained,3,40,beta_r2,shuffled,-0.2851684778928757,0.03139007754081797,-0.3561777666426281,-0.21415918914312326,10
trained,3,40,component_accuracy,actual,0.9546875,0.018843804703255772,0.9120598522161595,0.9973151477838406,10
trained,3,40,component_accuracy,shuffled,0.4703125,0.014905300022139776,0.4365943687912603,0.5040306312087398,10
trained,3,49,beta_r2,actual,0.7472194850444793,0.04016983560499326,0.6563490037022175,0.8380899663867412,10
trained,3,49,beta_r2,shuffled,-0.2529416583478451,0.029055517962591947,-0.3186698064257344,-0.1872135102699558,10
trained,3,49,component_accuracy,actual,0.95625,0.013441133229754106,0.9258440441881868,0.9866559558118133,10
