model_type,pool_index,layer,position,metric,control,score,num_prompts
untrained,0,0,10,component_accuracy,shuffled,0.546875,128
untrained,0,0,20,beta_r2,actual,-0.04399073123931885,128
untrained,0,0,20,beta_r2,shuffled,-0.01751888543367386,128
untrained,0,0,20,component_accuracy,actual,0.5234375,128
untrained,0,0,20,component_accuracy,shuffled,0.515625,128
untrained,0,0,30,beta_r2,actual,-0.13975705206394196,128
untrained,0,0,30,beta_r2,shuffled,0.011914974078536034,128
untrained,0,0,30,component_accuracy,actual,0.4765625,128
untrained,0,0,30,component_accuracy,shuffled,0.484375,128
untrained,0,0,40,beta_r2,actual,-0.09700557589530945,128
untrained,0,0,40,beta_r2,shuffled,-0.05404777079820633,128
untrained,0,0,40,component_accuracy,actual,0.4296875,128
untrained,0,0,40,component_accuracy,shuffled,0.53125,128
untrained,0,0,49,beta_r2,actual,-0.14658121764659882,128
untrained,0,0,49,beta_r2,shuffled,-0.01698899455368519,128
untrained,0,0,49,component_accuracy,actual,0.46875,128
untrained,0,0,49,component_accuracy,shuffled,0.5078125,128
untrained,0,1,5,beta_r2,actual,-0.039207182824611664,128
untrained,0,1,5,beta_r2,shuffled,-0.05175832286477089,128
untrained,0,1,5,component_accuracy,actual,0.484375,128
untrained,0,1,5,component_accuracy,shuffled,0.4765625,128
untrained,0,1,10,beta_r2,actual,-0.042987797409296036,128
untrained,0,1,10,beta_r2,shuffled,-0.11820387095212936,128
untrained,0,1,10,component_accuracy,actual,0.5234375,128
untrained,0,1,10,component_accuracy,shuffled,0.5,128
untrained,0,1,20,beta_r2,actual,-0.03716035932302475,128
untrained,0,1,20,beta_r2,shuffled,-0.08838354051113129,128
untrained,0,1,20,component_accuracy,actual,0.515625,128
untrained,0,1,20,component_accuracy,shuffled,0.53125,128
untrained,0,1,30,beta_r2,actual,-0.13519252836704254,128
untrained,0,1,30,beta_r2,shuffled,-0.034739863127470016,128
untrained,0,1,30,component_accuracy,actual,0.4921875,128
untrained,0,1,30,component_accuracy,shuffled,0.4765625,128
untrained,0,1,40,beta_r2,actual,-0.09426766633987427,128
untrained,0,1,40,beta_r2,shuffled,-0.0025203311815857887,128
untrained,0,1,40,component_accuracy,actual,0.421875,128
untrained,0,1,40,component_accuracy,shuffled,0.546875,128
untrained,0,1,49,beta_r2,actual,-0.15173910558223724,128
untrained,0,1,49,beta_r2,shuffled,-0.10749881714582443,128
untrained,0,1,49,component_accuracy,actual,0.4609375,128
untrained,0,1,49,component_accuracy,shuffled,0.5078125,128
untrained,0,2,5,beta_r2,actual,-0.030791671946644783,128
untrained,0,2,5,beta_r2,shuffled,-0.09493917226791382,128
untrained,0,2,5,component_accuracy,actual,0.5,128
untrained,0,2,5,component_accuracy,shuffled,0.46875,128
untrained,0,2,10,beta_r2,actual,-0.05086231604218483,128
untrained,0,2,10,beta_r2,shuffled,-0.07308779656887054,128
untrained,0,2,10,component_accuracy,actual,0.5234375,128
untrained,0,2,10,component_accuracy,shuffled,0.5078125,128
untrained,0,2,20,beta_r2,actual,-0.03182995319366455,128
untrained,0,2,20,beta_r2,shuffled,-0.03047436662018299,128
untrained,0,2,20,component_accuracy,actual,0.546875,128
untrained,0,2,20,component_accuracy,shuffled,0.5078125,128
untrained,0,2,30,beta_r2,actual,-0.13001367449760437,128
untrained,0,2,30,beta_r2,shuffled,-0.041201163083314896,128
untrained,0,2,30,component_accuracy,actual,0.515625,128
untrained,0,2,30,component_accuracy,shuffled,0.484375,128
untrained,0,2,40,beta_r2,actual,-0.08758021891117096,128
untrained,0,2,40,beta_r2,shuffled,-0.09617485851049423,128
untrained,0,2,40,component_accuracy,actual,0.4296875,128
untrained,0,2,40,component_accuracy,shuffled,0.5234375,128
untrained,0,2,49,beta_r2,actual,-0.1503084897994995,128
untrained,0,2,49,beta_r2,shuffled,-0.08625588566064835,128
untrained,0,2,49,component_accuracy,actual,0.46875,128
untrained,0,2,49,component_accuracy,shuffled,0.5234375,128
untrained,0,3,5,beta_r2,actual,-0.034962013363838196,128
untrained,0,3,5,beta_r2,shuffled,-0.06527332216501236,128
untrained,0,3,5,component_accuracy,actual,0.4765625,128
untrained,0,3,5,component_accuracy,shuffled,0.5078125,128
untrained,0,3,10,beta_r2,actual,-0.058472659438848495,128
untrained,0,3,10,beta_r2,shuffled,-0.02560412511229515,128
untrained,0,3,10,component_accuracy,actual,0.53125,128
untrained,0,3,10,component_accuracy,shuffled,0.5390625,128
untrained,0,3,20,beta_r2,actual,-0.032150816172361374,128
untrained,0,3,20,beta_r2,shuffled,-0.06099892035126686,128
untrained,0,3,20,component_accuracy,actual,0.515625,128
untrained,0,3,20,component_accuracy,shuffled,0.4765625,128
untrained,0,3,30,beta_r2,actual,-0.1284981220960617,128
untrained,0,3,30,beta_r2,shuffled,-0.052710697054862976,128
untrained,0,3,30,component_accuracy,actual,0.5,128
untrained,0,3,30,component_accuracy,shuffled,0.4765625,128
untrained,0,3,40,beta_r2,actual,-0.0873045101761818,128
untrained,0,3,40,beta_r2,shuffled,-0.055751778185367584,128
untrained,0,3,40,component_accuracy,actual,0.4140625,128
untrained,0,3,40,component_accuracy,shuffled,0.484375,128
untrained,0,3,49,beta_r2,actual,-0.15404808521270752,128
untrained,0,3,49,beta_r2,shuffled,-0.08667238801717758,128
untrained,0,3,49,component_accuracy,actual,0.46875,128
untrained,0,3,49,component_accuracy,shuffled,0.5625,128
untrained,0,4,5,beta_r2,actual,-0.022462114691734314,128
untrained,0,4,5,beta_r2,shuffled,-0.017100445926189423,128
untrained,0,4,5,component_accuracy,actual,0.4921875,128
untrained,0,4,5,component_accuracy,shuffled,0.5078125,128
untrained,0,4,10,beta_r2,actual,-0.06689170747995377,128
untrained,0,4,10,beta_r2,shuffled,-0.07722808420658112,128
untrained,0,4,10,component_accuracy,actual,0.515625,128
untrained,0,4,10,component_accuracy,shuffled,0.515625,128
untrained,0,4,20,beta_r2,actual,-0.03263840451836586,128
untrained,0,4,20,beta_r2,shuffled,0.010595107451081276,128
untrained,0,4,20,component_accuracy,actual,0.53125,128
untrained,0,4,20,component_accuracy,shuffled,0.453125,128
